ID Product,Product Description,ID Product Category,Own Brand
943786,CERVEJA SAGRES 25CL,CERVEJAS BRANCAS,0
954667,OLEO ALTO RENDIMENTO VILLAGRANDE PET 10,ÓLEOS,0
707647,CALDO KNORR GALINHA 3KG,CONDIMENTOS,0
53955,V BEIR LUIS PATO VINHAS VELHAS BR 75CL,VINHOS TINTOS,0
820858,V.PROTOS VERDEJO 75CL,FRISANTES BRANCOS,0
491607,QUEIJO SAO JORGE DOP 4 MESES 1/4 KG,ILHA,0
957467,SARDINHA FILETE C/P CG 800 GR,PEIXES INTEIROS / CORTADOS,0
868843,COENTROS MOIDOS CARMENCITA 530G PET,ESPECIARIAS,0
846903,GIN GORDONS PINK 70CL,GINS,0
66916,CAMPARI 70CL,APERITIVOS,0
278212,MALAGUETA VERDE RCH,LEGUMES FRESCOS,0
614673,CERVEJA SUPER BOCK 15X20CL,CERVEJAS BRANCAS,0
695863,COGNAC REMY MARTIN VSOP 70CL,COGNAC,0
918310,V.DOURO VINHA GRANDE TTO 75CL,VINHOS TINTOS,0
636289,ROBALO MAR RCH KG cx 1 un F03,PESCADO SELVAGEM,0
640585,V.ESPA.PROTOS  ROBLE TTO,FRISANTES ROSÉ,0
641087,V.DÃO QTA.DOS CARVALHAIS TTO 75CL,VINHOS TINTOS,0
962948,TRIPACK 250ML MAIONESE KETCHUP MOSTARDA,MOLHOS,0
820092,GUARD MCHEF FD PRETO 40X40 50UN,GUARDANAPOS FOLHA DUPLA,1
961887,MOSTARDA MILLAS SAQUETAS 300X6GR,MOLHOS,0
730292,RECARGA ESFREGONA VILEDA SUAVE 1UN,ACESSÓRIOS LIMPEZA GERAL,0
899767,FILETE PESCADA A.SUL 200/UP AV CG 7KG,PEIXES INTEIROS / CORTADOS,0
774909,GRANDE D.MANGA C.PROF.48UN CGR74601,PASTELARIA,0
960255,VINHO ROSÉ DOC VERDE CAMALEÃO 75 CL,VINHOS ROSÉ,0
889113,MOSTARDA COM MEL MAILLE 230G,MOLHOS,0
